id,audio_url,title,artist,album,duration,release_year,cover
6eW99oNNRvI,https://www.youtube.com/watch?v=6eW99oNNRvI,"Love Me Like You Do (From ""Fifty Shades Of Grey"")",Ellie Goulding,Delirium,253,2015.0,https://i.ytimg.com/vi_webp/6eW99oNNRvI/maxresdefault.webp
W-tih4iydMc,https://www.youtube.com/watch?v=W-tih4iydMc,Aziyat,"Pratsofficial, Pratyush Dhiman, Pratyush Dhiman, Pratyush Dhiman",Aziyat,222,2020.0,https://i.ytimg.com/vi_webp/W-tih4iydMc/maxresdefault.webp
BGn2oo-0Dqc,https://www.youtube.com/watch?v=BGn2oo-0Dqc,On Melancholy Hill,Gorillaz,The Singles Collection 2001-2011,209,2010.0,https://i.ytimg.com/vi_webp/BGn2oo-0Dqc/maxresdefault.webp
G8a0t9hxyaI,https://www.youtube.com/watch?v=G8a0t9hxyaI,Afterglow,Ed Sheeran,Afterglow,185,2020.0,https://i.ytimg.com/vi_webp/G8a0t9hxyaI/maxresdefault.webp
ZpzEJAwiTUE,https://www.youtube.com/watch?v=ZpzEJAwiTUE,Nit Nit,Jasleen Royal,Nit Nit,246,2020.0,https://i.ytimg.com/vi_webp/ZpzEJAwiTUE/maxresdefault.webp
4ujBQOzs6Lw,https://www.youtube.com/watch?v=4ujBQOzs6Lw,Rolling in the Deep,Adele,Rolling in the Deep,228,2010.0,https://i.ytimg.com/vi_webp/4ujBQOzs6Lw/maxresdefault.webp
I8IGukb5qao,https://www.youtube.com/watch?v=I8IGukb5qao,Kyon,"Pritam, Papon, Sunidhi Chauhan",Barfi! (Original Motion Picture Soundtrack),266,2012.0,https://i.ytimg.com/vi_webp/I8IGukb5qao/maxresdefault.webp
bqpp872d9QU,https://www.youtube.com/watch?v=bqpp872d9QU,Thinking About You,"Calvin Harris, Ayah Marar",18 Months,248,2012.0,https://i.ytimg.com/vi_webp/bqpp872d9QU/maxresdefault.webp
wGUKBXpfU1o,https://www.youtube.com/watch?v=wGUKBXpfU1o,Just the Way You Are,Bruno Mars,Doo-Wops & Hooligans,221,2010.0,https://i.ytimg.com/vi_webp/wGUKBXpfU1o/maxresdefault.webp
LwkrXybZ1uo,https://www.youtube.com/watch?v=LwkrXybZ1uo,I Want It That Way,Backstreet Boys,Millennium,213,1998.0,https://i.ytimg.com/vi_webp/LwkrXybZ1uo/maxresdefault.webp
qVbG2S3Av_w,https://www.youtube.com/watch?v=qVbG2S3Av_w,Saajna,Mitraz,Saajna,177,2023.0,https://i.ytimg.com/vi_webp/qVbG2S3Av_w/maxresdefault.webp
DekARGq0pI4,https://www.youtube.com/watch?v=DekARGq0pI4,Light Falls,EMBRZ,Together Till It Ends,199,2021.0,https://i.ytimg.com/vi_webp/DekARGq0pI4/maxresdefault.webp
n6N1_sxlBU8,https://www.youtube.com/watch?v=n6N1_sxlBU8,We Found Love,"Rihanna, Calvin Harris",Talk That Talk,215,2011.0,https://i.ytimg.com/vi_webp/n6N1_sxlBU8/maxresdefault.webp
